Stock,Direction,Score,TrendQuality,Smoothness,EMADiscipline,MaxDrawdown,CrossCount,EMA_Slope%,Trend%,BarsAboveEMA,VolRatio,EMA_Efficiency
ADANIENSOL.NS,SIDEWAYS,0.45,70.0,60.0,45.0,99.08,3.77,7,0.06,0.1,30,1.98
ADANIENT.NS,SIDEWAYS,23.08,82.0,82.0,45.0,98.32,2.5,9,0.62,0.59,41,1.08
ADANIGREEN.NS,BULL,28.02,90.0,70.0,55.0,97.99,3.43,7,0.79,0.72,35,1.23
ADANIPORTS.NS,SIDEWAYS,-38.06,8.0,68.0,35.0,98.46,2.69,19,0.56,0.37,34,1.84
ADANIPOWER.NS,SIDEWAYS,-22.94,26.0,46.0,35.0,98.88,2.67,11,-0.14,-0.4,23,2.35
ALKEM.NS,SIDEWAYS,-55.65,-23.0,32.0,35.0,99.16,1.51,18,-0.26,-0.37,16,2.21
AMBUJACEM.NS,SIDEWAYS,7.86,57.0,52.0,65.0,98.34,2.69,12,0.75,0.9,26,2.56
ANGELONE.NS,SIDEWAYS,-51.1,44.0,54.0,50.0,98.4,6.19,12,-0.56,-0.98,27,1.31
APOLLOHOSP.NS,SIDEWAYS,34.71,93.0,68.0,70.0,99.4,0.38,9,0.28,0.3,34,1.83
APLAPOLLO.NS,SIDEWAYS,-7.43,69.0,74.0,50.0,98.96,3.04,11,-0.1,-0.32,37,2.15
ASHOKLEY.NS,SIDEWAYS,-52.85,19.0,64.0,45.0,99.14,3.73,18,0.07,0.14,32,1.75
ASIANPAINT.NS,SIDEWAYS,-49.95,41.0,56.0,50.0,98.61,6.09,13,0.01,0.3,28,1.54
ASTRAL.NS,SIDEWAYS,-37.23,33.0,58.0,60.0,99.26,3.07,17,0.13,0.27,29,3.01
AUBANK.NS,BULL,54.13,110.0,90.0,50.0,98.43,0.53,6,0.45,0.21,45,1.48
AUROPHARMA.NS,SIDEWAYS,-4.0,36.0,36.0,45.0,98.8,1.3,9,-0.42,-0.03,18,3.36
AXISBANK.NS,SIDEWAYS,15.49,58.0,58.0,40.0,98.82,0.48,8,0.09,0.18,29,0.95
BAJAJ-AUTO.NS,SIDEWAYS,-14.53,51.0,46.0,25.0,98.52,5.09,4,-0.68,-0.78,23,1.16
BAJAJFINSV.NS,SIDEWAYS,18.35,65.0,50.0,45.0,98.93,1.26,6,-0.25,-0.06,25,2.59
BAJAJHLDNG.NS,SIDEWAYS,-14.05,54.0,54.0,40.0,98.7,4.11,8,-0.41,-0.55,27,2.28
BAJFINANCE.NS,SIDEWAYS,20.75,80.0,80.0,50.0,98.8,0.57,10,0.17,0.11,40,1.18
BANDHANBNK.NS,SIDEWAYS,11.44,94.0,74.0,45.0,97.03,4.15,5,0.25,-0.21,37,0.88
BANKBARODA.NS,SIDEWAYS,8.32,71.0,66.0,30.0,98.6,3.06,5,-0.28,-0.53,33,1.18
BANKINDIA.NS,SIDEWAYS,-18.47,40.0,50.0,35.0,98.81,3.61,9,-0.44,-0.55,25,2.83
BDL.NS,SIDEWAYS,-44.2,25.0,40.0,45.0,98.08,4.51,12,-0.33,-0.74,20,1.72
BEL.NS,BEAR,-36.78,9.0,24.0,25.0,98.69,4.52,8,-0.65,-0.77,12,2.03
BHARATFORG.NS,SIDEWAYS,-32.51,15.0,30.0,40.0,98.23,2.92,11,-0.17,-0.08,15,1.81
BHARTIARTL.NS,SIDEWAYS,-33.16,18.0,48.0,30.0,98.55,2.7,12,-0.68,-0.93,24,1.12
BIOCON.NS,SIDEWAYS,-12.15,61.0,56.0,60.0,98.8,2.79,11,0.1,0.31,28,0.85
